"gene_name","bingrp"
"LOC102723672","chr7:80001-160000"
"LOC100507642","chr7:80001-160000"
"LOC105375115","chr7:160001-240000"
"FAM20C","chr7:160001-240000"
"FOXL3","chr7:240001-320000"
"FOXL3-OT1","chr7:240001-320000"
"LOC442497","chr7:320001-400000"
"PDGFA","chr7:480001-560000"
"HRAT92","chr7:480001-560000"
"PRKAR1B-AS2","chr7:560001-640000"
"PRKAR1B-AS1","chr7:560001-640000"
"DNAAF5","chr7:720001-800000"
"SUN1","chr7:800001-880000"
"GET4","chr7:880001-960000"
"ADAP1","chr7:880001-960000"
"COX19","chr7:960001-1040000"
"CYP2W1","chr7:960001-1040000"
"C7orf50","chr7:1040001-1120000"
"MIR339","chr7:960001-1040000"
"GPR146","chr7:1040001-1120000"
"GPER1","chr7:1040001-1120000"
"ZFAND2A","chr7:1120001-1200000"
"LOC101927021","chr7:1120001-1200000"
"UNCX","chr7:1200001-1280000"
"MICALL2","chr7:1440001-1520000"
"INTS1","chr7:1440001-1520000"
"MAFK","chr7:1520001-1600000"
"LOC100128653","chr7:1520001-1600000"
"TMEM184A","chr7:1520001-1600000"
"PSMG3","chr7:1520001-1600000"
"PSMG3-AS1","chr7:1520001-1600000"
"TFAMP1","chr7:1600001-1680000"
"ELFN1","chr7:1680001-1760000"
"ELFN1-AS1","chr7:1680001-1760000"
"MIR4655","chr7:1840001-1920000"
"SNORA114","chr7:2080001-2160000"
"MRM2","chr7:2160001-2240000"
"NUDT1","chr7:2240001-2320000"
"SNX8","chr7:2240001-2320000"
"MIR6836","chr7:2240001-2320000"
"EIF3B","chr7:2320001-2400000"
"CHST12","chr7:2400001-2480000"
"GRIFIN","chr7:2400001-2480000"
"LFNG","chr7:2480001-2560000"
"MIR4648","chr7:2480001-2560000"
"BRAT1","chr7:2480001-2560000"
"IQCE","chr7:2560001-2640000"
"TTYH3","chr7:2640001-2720000"
"AMZ1","chr7:2720001-2800000"
"GNA12","chr7:2720001-2800000"
"CARD11","chr7:2960001-3040000"
"LOC100129603","chr7:3120001-3200000"
"LOC105375131","chr7:4080001-4160000"
"FOXK1","chr7:4720001-4800000"
"AP5Z1","chr7:4720001-4800000"
"MIR4656","chr7:4720001-4800000"
"RADIL","chr7:4800001-4880000"
"SNORD165","chr7:4800001-4880000"
"PAPOLB","chr7:4800001-4880000"
"MMD2","chr7:4880001-4960000"
"RNF216P1","chr7:4960001-5040000"
"RBAK","chr7:5040001-5120000"
"RBAK-RBAKDN","chr7:5040001-5120000"
"RBAKDN","chr7:5040001-5120000"
"ZNF890P","chr7:5120001-5200000"
"WIPI2","chr7:5200001-5280000"
"SLC29A4","chr7:5280001-5360000"
"TNRC18","chr7:5360001-5440000"
"LOC100129484","chr7:5360001-5440000"
"FBXL18","chr7:5440001-5520000"
"MIR589","chr7:5440001-5520000"
"LOC221946","chr7:5440001-5520000"
"ACTB","chr7:5520001-5600000"
"FSCN1","chr7:5520001-5600000"
"RNF216-IT1","chr7:5600001-5680000"
"MIR6874","chr7:5680001-5760000"
"ZNF815P","chr7:5760001-5840000"
"OCM","chr7:5840001-5920000"
"CCZ1","chr7:5840001-5920000"
"PMS2","chr7:5920001-6000000"
"AIMP2","chr7:6000001-6080000"
"SNORA80D","chr7:6000001-6080000"
"EIF2AK1","chr7:6000001-6080000"
"ANKRD61","chr7:6000001-6080000"
"USP42","chr7:6080001-6160000"
"CYTH3","chr7:6160001-6240000"
"FAM220A","chr7:6320001-6400000"
"RAC1","chr7:6320001-6400000"
"DAGLB","chr7:6400001-6480000"
"KDELR2","chr7:6400001-6480000"
"GRID2IP","chr7:6480001-6560000"
"ZDHHC4","chr7:6560001-6640000"
"C7orf26","chr7:6560001-6640000"
"ZNF853","chr7:6560001-6640000"
"ZNF316","chr7:6640001-6720000"
"ZNF12","chr7:6640001-6720000"
"PMS2CL","chr7:6720001-6800000"
"RSPH10B2","chr7:6720001-6800000"
"CCZ1B","chr7:6800001-6880000"
"MIR3683","chr7:7040001-7120000"
"LOC100131257","chr7:7040001-7120000"
"C1GALT1","chr7:7200001-7280000"
"LOC101927354","chr7:7200001-7280000"
"LOC101927391","chr7:7520001-7600000"
"MIOS","chr7:7520001-7600000"
"RPA3","chr7:7600001-7680000"
"GLCCI1-DT","chr7:7920001-8000000"
"GLCCI1","chr7:8000001-8080000"
"ICA1","chr7:8160001-8240000"
"LOC100505938","chr7:8240001-8320000"
"PER3P1","chr7:9600001-9680000"
"LOC100131472","chr7:10640001-10720000"
"NDUFA4","chr7:10880001-10960000"
"TMEM106B","chr7:12160001-12240000"
"VWDE","chr7:12320001-12400000"
"LOC102725191","chr7:12480001-12560000"
"SCIN","chr7:12560001-12640000"
"ARL4A","chr7:12640001-12720000"
"ETV1","chr7:13920001-14000000"
"MEOX2","chr7:15600001-15680000"
"LOC105375166","chr7:15600001-15680000"
"LINC02587","chr7:15680001-15760000"
"CRPPA-AS1","chr7:16240001-16320000"
"SOSTDC1","chr7:16400001-16480000"
"LRRC72","chr7:16480001-16560000"
"ANKMY2","chr7:16560001-16640000"
"BZW2","chr7:16640001-16720000"
"TSPAN13","chr7:16720001-16800000"
"AGR2","chr7:16720001-16800000"
"AGR3","chr7:16800001-16880000"
"AHR","chr7:17280001-17360000"
"KCCAT333","chr7:17360001-17440000"
"LOC101927630","chr7:17440001-17520000"
"SNX13","chr7:17840001-17920000"
"PRPS1L1","chr7:18000001-18080000"
"MIR1302-6","chr7:18080001-18160000"
"TWIST1","chr7:19040001-19120000"
"FERD3L","chr7:19120001-19200000"
"TWISTNB","chr7:19680001-19760000"
"MIR3146","chr7:19680001-19760000"
"TMEM196","chr7:19680001-19760000"
"MACC1","chr7:20160001-20240000"
"MACC1-AS1","chr7:20080001-20160000"
"LOC100506098","chr7:20160001-20240000"
"LOC101927769","chr7:20240001-20320000"
"LOC101927811","chr7:20320001-20400000"
"ITGB8","chr7:20320001-20400000"
"ABCB5","chr7:20640001-20720000"
"SP8","chr7:20720001-20800000"
"RPL23P8","chr7:20800001-20880000"
"SP4","chr7:21440001-21520000"
"MIR1183","chr7:21440001-21520000"
"CDCA7L","chr7:21920001-22000000"
"STEAP1B","chr7:22400001-22480000"
"LOC100506178","chr7:22560001-22640000"
"LOC401312","chr7:22640001-22720000"
"IL6-AS1","chr7:22720001-22800000"
"IL6","chr7:22720001-22800000"
"TOMM7","chr7:22800001-22880000"
"SNHG26","chr7:22800001-22880000"
"SNORD93","chr7:22800001-22880000"
"FAM126A","chr7:22960001-23040000"
"KLHL7-DT","chr7:23040001-23120000"
"KLHL7","chr7:23120001-23200000"
"NUP42","chr7:23120001-23200000"
"GPNMB","chr7:23200001-23280000"
"MALSU1","chr7:23280001-23360000"
"SNORD65C","chr7:23360001-23440000"
"RPS2P32","chr7:23440001-23520000"
"TRA2A","chr7:23440001-23520000"
"CLK2P1","chr7:23520001-23600000"
"CCDC126","chr7:23600001-23680000"
"FAM221A","chr7:23680001-23760000"
"STK31","chr7:23760001-23840000"
"NPY","chr7:24240001-24320000"
"MPP6","chr7:24560001-24640000"
"GSDME","chr7:24720001-24800000"
"CYCS","chr7:25120001-25200000"
"C7orf31","chr7:25120001-25200000"
"NPVF","chr7:25200001-25280000"
"MIR148A","chr7:25920001-26000000"
"NFE2L3","chr7:26160001-26240000"
"HNRNPA2B1","chr7:26160001-26240000"
"CBX3","chr7:26160001-26240000"
"SNX10","chr7:26320001-26400000"
"LOC105375304","chr7:26320001-26400000"
"LOC441204","chr7:26400001-26480000"
"KIAA0087","chr7:26480001-26560000"
"LINC02860","chr7:26640001-26720000"
"HOXA1","chr7:27040001-27120000"
"HOTAIRM1","chr7:27040001-27120000"
"HOXA2","chr7:27040001-27120000"
"HOXA3","chr7:27040001-27120000"
"HOXA-AS2","chr7:27120001-27200000"
"HOXA4","chr7:27120001-27200000"
"HOXA-AS3","chr7:27120001-27200000"
"HOXA5","chr7:27120001-27200000"
"HOXA6","chr7:27120001-27200000"
"HOXA7","chr7:27120001-27200000"
"HOXA10-HOXA9","chr7:27120001-27200000"
"HOXA9","chr7:27120001-27200000"
"HOXA10-AS","chr7:27120001-27200000"
"MIR196B","chr7:27120001-27200000"
"HOXA10","chr7:27120001-27200000"
"HOXA11","chr7:27120001-27200000"
"HOXA11-AS","chr7:27120001-27200000"
"HOXA13","chr7:27120001-27200000"
"HOTTIP","chr7:27200001-27280000"
"EVX1-AS","chr7:27200001-27280000"
"EVX1","chr7:27200001-27280000"
"HIBADH","chr7:27520001-27600000"
"TSL","chr7:27600001-27680000"
"TAX1BP1","chr7:27760001-27840000"
"JAZF1-AS1","chr7:28160001-28240000"
"TRIL","chr7:28880001-28960000"
"LOC100506497","chr7:28960001-29040000"
"LOC101928168","chr7:29120001-29200000"
"CHN2-AS1","chr7:29200001-29280000"
"PRR15","chr7:29520001-29600000"
"LOC646762","chr7:29600001-29680000"
"MIR550A3","chr7:29680001-29760000"
"ZNRF2P2","chr7:29680001-29760000"
"DPY19L2P3","chr7:29680001-29760000"
"WIPF3","chr7:29840001-29920000"
"SCRN1","chr7:29920001-30000000"
"FKBP14","chr7:30000001-30080000"
"PLEKHA8","chr7:30000001-30080000"
"MTURN","chr7:30080001-30160000"
"LOC105375218","chr7:30240001-30320000"
"ZNRF2","chr7:30320001-30400000"
"MIR550A1","chr7:30240001-30320000"
"DKFZP586I1420","chr7:30320001-30400000"
"LINC01176","chr7:30320001-30400000"
"NOD1","chr7:30400001-30480000"
"GGCT","chr7:30480001-30560000"
"GARS-DT","chr7:30560001-30640000"
"GARS1","chr7:30560001-30640000"
"CRHR2","chr7:30640001-30720000"
"INMT","chr7:30720001-30800000"
"INMT-MINDY4","chr7:30800001-30880000"
"MINDY4","chr7:30800001-30880000"
"AQP1","chr7:30880001-30960000"
"GHRHR","chr7:30960001-31040000"
"ADCYAP1R1","chr7:31040001-31120000"
"NEUROD6","chr7:31280001-31360000"
"ITPRID1","chr7:31520001-31600000"
"PPP1R17","chr7:31680001-31760000"
"LOC100130673","chr7:32400001-32480000"
"LSM5","chr7:32480001-32560000"
"AVL9","chr7:32480001-32560000"
"DPY19L1P1","chr7:32640001-32720000"
"ZNRF2P1","chr7:32720001-32800000"
"MIR550A2","chr7:32720001-32800000"
"LINC00997","chr7:32720001-32800000"
"DPY19L1P2","chr7:32800001-32880000"
"KBTBD2","chr7:32800001-32880000"
"RP9P","chr7:32880001-32960000"
"FKBP9","chr7:32960001-33040000"
"NT5C3A","chr7:32960001-33040000"
"RP9","chr7:33040001-33120000"
"DPY19L1","chr7:34960001-35040000"
"DPY19L2P1","chr7:35120001-35200000"
"TBX20","chr7:35200001-35280000"
"LOC401324","chr7:35280001-35360000"
"HERPUD2","chr7:35600001-35680000"
"LOC101930085","chr7:35680001-35760000"
"LOC100506725","chr7:35680001-35760000"
"SEPTIN7-AS1","chr7:35760001-35840000"
"SEPTIN7","chr7:35840001-35920000"
"LOC101928618","chr7:36080001-36160000"
"EEPD1","chr7:36160001-36240000"
"KIAA0895","chr7:36320001-36400000"
"ANLN","chr7:36400001-36480000"
"AOAH-IT1","chr7:36560001-36640000"
"MIR1200","chr7:36880001-36960000"
"ELMO1-AS1","chr7:36960001-37040000"
"GPR141","chr7:37680001-37760000"
"NME8","chr7:37840001-37920000"
"SFRP4","chr7:37840001-37920000"
"EPDR1","chr7:37920001-38000000"
"STARD3NL","chr7:38160001-38240000"
"TARP","chr7:38240001-38320000"
"TRG-AS1","chr7:38320001-38400000"
"FAM183BP","chr7:38640001-38720000"
"POU6F2-AS2","chr7:38960001-39040000"
"SNORA20B","chr7:39280001-39360000"
"POU6F2-AS1","chr7:39360001-39440000"
"YAE1","chr7:39520001-39600000"
"RALA","chr7:39600001-39680000"
"LINC00265","chr7:39760001-39840000"
"LOC112267983","chr7:39920001-40000000"
"CDK13","chr7:40000001-40080000"
"MPLKIP","chr7:40080001-40160000"
"LINC01450","chr7:40960001-41040000"
"LINC01449","chr7:41040001-41120000"
"INHBA","chr7:41680001-41760000"
"INHBA-AS1","chr7:41680001-41760000"
"LINC01448","chr7:42640001-42720000"
"C7orf25","chr7:42880001-42960000"
"PSMA2","chr7:42880001-42960000"
"MRPL32","chr7:42880001-42960000"
"HECW1-IT1","chr7:43120001-43200000"
"MIR3943","chr7:43120001-43200000"
"LUARIS","chr7:43440001-43520000"
"STK17A","chr7:43600001-43680000"
"COA1","chr7:43600001-43680000"
"BLVRA","chr7:43760001-43840000"
"MRPS24","chr7:43840001-43920000"
"URGCP-MRPS24","chr7:43840001-43920000"
"URGCP","chr7:43840001-43920000"
"UBE2D4","chr7:43920001-44000000"
"POLR2J4","chr7:43920001-44000000"
"SPDYE1","chr7:44000001-44080000"
"RASA4CP","chr7:44000001-44080000"
"LINC00957","chr7:44000001-44080000"
"DBNL","chr7:44000001-44080000"
"MIR6837","chr7:44000001-44080000"
"PGAM2","chr7:44000001-44080000"
"POLM","chr7:44000001-44080000"
"MIR6838","chr7:44000001-44080000"
"AEBP1","chr7:44080001-44160000"
"MIR4649","chr7:44080001-44160000"
"POLD2","chr7:44080001-44160000"
"MYL7","chr7:44080001-44160000"
"GCK","chr7:44160001-44240000"
"YKT6","chr7:44160001-44240000"
"CAMK2B","chr7:44240001-44320000"
"NUDCD3","chr7:44400001-44480000"
"NPC1L1","chr7:44480001-44560000"
"DDX56","chr7:44560001-44640000"
"TMED4","chr7:44560001-44640000"
"OGDH","chr7:44640001-44720000"
"ZMIZ2","chr7:44720001-44800000"
"PPIA","chr7:44720001-44800000"
"H2AZ2","chr7:44800001-44880000"
"PURB","chr7:44880001-44960000"
"MIR4657","chr7:44880001-44960000"
"MYO1G","chr7:44960001-45040000"
"SNHG15","chr7:44960001-45040000"
"SNORA9","chr7:44960001-45040000"
"CCM2","chr7:44960001-45040000"
"NACAD","chr7:45040001-45120000"
"TBRG4","chr7:45040001-45120000"
"SNORA5A","chr7:45040001-45120000"
"SNORA5C","chr7:45040001-45120000"
"SNORA5B","chr7:45040001-45120000"
"RAMP3","chr7:45120001-45200000"
"ADCY1","chr7:45600001-45680000"
"SEPTIN7P2","chr7:45680001-45760000"
"LOC730234","chr7:45760001-45840000"
"IGFBP1","chr7:45840001-45920000"
"IGFBP3","chr7:45840001-45920000"
"LOC730338","chr7:46640001-46720000"
"SNORD151","chr7:47440001-47520000"
"LINC01447","chr7:47600001-47680000"
"C7orf65","chr7:47600001-47680000"
"LINC00525","chr7:47760001-47840000"
"C7orf69","chr7:47760001-47840000"
"HUS1","chr7:47920001-48000000"
"SUN3","chr7:48000001-48080000"
"C7orf57","chr7:48000001-48080000"
"UPP1","chr7:48080001-48160000"
"CDC14C","chr7:48880001-48960000"
"VWC2","chr7:49840001-49920000"
"ZPBP","chr7:50000001-50080000"
"SPATA48","chr7:50080001-50160000"
"IKZF1","chr7:50320001-50400000"
"FIGNL1","chr7:50400001-50480000"
"DDC","chr7:50480001-50560000"
"DDC-AS1","chr7:50480001-50560000"
"LOC107986794","chr7:51360001-51440000"
"POM121L12","chr7:52960001-53040000"
"LINC01446","chr7:53680001-53760000"
"LINC01445","chr7:54320001-54400000"
"VSTM2A","chr7:54480001-54560000"
"VSTM2A-OT1","chr7:54560001-54640000"
