seqnames	start	end	cnv	n_cells
chr1	23000001	23100000	amp	58
chr1	23100001	23200000	amp	64
chr1	23200001	23300000	amp	84
chr1	23300001	23400000	amp	85
chr1	23400001	23500000	amp	86
chr1	23500001	23600000	amp	86
chr1	23600001	23700000	amp	88
chr1	23700001	23800000	amp	88
chr1	23800001	23900000	amp	88
chr1	23900001	24000000	amp	88
chr1	24000001	24100000	amp	88
chr1	24100001	24200000	amp	88
chr1	24200001	24300000	amp	88
chr1	24300001	24400000	amp	89
chr1	24400001	24500000	amp	89
chr1	24500001	24600000	amp	89
chr1	24600001	24700000	amp	89
chr1	24700001	24800000	amp	89
chr1	24800001	24900000	amp	89
chr1	24900001	25000000	amp	89
chr1	25000001	25100000	amp	89
chr1	25100001	25200000	amp	89
chr1	25200001	25300000	amp	89
chr1	25300001	25400000	amp	89
chr1	25400001	25500000	amp	89
chr1	25500001	25600000	amp	89
chr1	25600001	25700000	amp	89
chr1	25700001	25800000	amp	89
chr1	25800001	25900000	amp	89
chr1	25900001	26000000	amp	89
chr1	26000001	26100000	amp	90
chr1	26100001	26200000	amp	90
chr1	26200001	26300000	amp	90
chr1	26300001	26400000	amp	90
chr1	26400001	26500000	amp	90
chr1	26500001	26600000	amp	90
chr1	26600001	26700000	amp	90
chr1	26700001	26800000	amp	90
chr1	26800001	26900000	amp	90
chr1	26900001	27000000	amp	90
chr1	27000001	27100000	amp	90
chr1	27100001	27200000	amp	90
chr1	27200001	27300000	amp	90
chr1	27300001	27400000	amp	90
chr1	27400001	27500000	amp	90
chr1	27500001	27600000	amp	90
chr1	27600001	27700000	amp	90
chr1	27700001	27800000	amp	91
chr1	27800001	27900000	amp	91
chr1	27900001	28000000	amp	91
chr1	28000001	28100000	amp	91
chr1	28100001	28200000	amp	91
chr1	28200001	28300000	amp	91
chr1	28300001	28400000	amp	91
chr1	28400001	28500000	amp	91
chr1	28500001	28600000	amp	90
chr1	28600001	28700000	amp	85
chr1	28700001	28800000	amp	73
chr1	28800001	28900000	amp	67
chr1	28900001	29000000	amp	52
chr1	45400001	45500000	amp	50
chr1	45500001	45600000	amp	50
chr1	46800001	46900000	del	50
chr1	46900001	47000000	del	55
chr1	47000001	47100000	del	55
chr1	47100001	47200000	del	55
chr1	47200001	47300000	del	56
chr1	47300001	47400000	del	58
chr1	47400001	47500000	del	59
chr1	47500001	47600000	del	60
chr1	47600001	47700000	del	61
chr1	47700001	47800000	del	62
chr1	47800001	47900000	del	62
chr1	47900001	48000000	del	63
chr1	48000001	48100000	del	63
chr1	48100001	48200000	del	63
chr1	48200001	48300000	del	63
chr1	48300001	48400000	del	64
chr1	48400001	48500000	del	64
chr1	48500001	48600000	del	64
chr1	48600001	48700000	del	64
chr1	48700001	48800000	del	64
chr1	48800001	48900000	del	64
chr1	48900001	49000000	del	64
chr1	49000001	49100000	del	64
chr1	49100001	49200000	del	64
chr1	49200001	49300000	del	64
chr1	49300001	49400000	del	64
chr1	49400001	49500000	del	63
chr1	49500001	49600000	del	63
chr1	49600001	49700000	del	62
chr1	49700001	49800000	del	61
chr1	49800001	49900000	del	61
chr1	49900001	50000000	del	61
chr1	50000001	50100000	del	62
chr1	50100001	50200000	del	62
chr1	50200001	50300000	del	61
chr1	50300001	50400000	del	60
chr1	50400001	50500000	del	60
chr1	50500001	50600000	del	59
chr1	50600001	50700000	del	53
chr1	62600001	62700000	amp	50
chr1	62700001	62800000	amp	51
chr1	62800001	62900000	amp	51
chr1	62900001	63000000	amp	52
chr1	63000001	63100000	amp	52
chr1	63100001	63200000	amp	52
chr1	63200001	63300000	amp	53
chr1	63300001	63400000	amp	55
chr1	63400001	63500000	amp	55
chr1	63500001	63600000	amp	55
chr1	63600001	63700000	amp	55
chr1	63700001	63800000	amp	56
chr1	63800001	63900000	amp	56
chr1	63900001	64000000	amp	56
chr1	64000001	64100000	amp	56
chr1	64100001	64200000	amp	57
chr1	64200001	64300000	amp	58
chr1	64300001	64400000	amp	60
chr1	64400001	64500000	amp	64
chr1	64500001	64600000	amp	68
chr1	64600001	64700000	amp	76
chr1	64700001	64800000	amp	106
chr1	64800001	64900000	amp	127
chr1	64900001	65000000	amp	127
chr1	65000001	65100000	amp	127
chr1	65100001	65200000	amp	127
chr1	65200001	65300000	amp	128
chr1	65300001	65400000	amp	130
chr1	65400001	65500000	amp	131
chr1	65500001	65600000	amp	132
chr1	65600001	65700000	amp	132
chr1	65700001	65800000	amp	135
chr1	65800001	65900000	amp	137
chr1	65900001	66000000	amp	138
chr1	66000001	66100000	amp	138
chr1	66100001	66200000	amp	140
chr1	66200001	66300000	amp	142
chr1	66300001	66400000	amp	142
chr1	66400001	66500000	amp	139
chr1	66500001	66600000	amp	139
chr1	66600001	66700000	amp	138
chr1	66700001	66800000	amp	138
chr1	66800001	66900000	amp	138
chr1	66900001	67000000	amp	139
chr1	67000001	67100000	amp	138
chr1	67100001	67200000	amp	137
chr1	67200001	67300000	amp	137
chr1	67300001	67400000	amp	137
chr1	67400001	67500000	amp	137
chr1	67500001	67600000	amp	136
chr1	67600001	67700000	amp	136
chr1	67700001	67800000	amp	128
chr1	67800001	67900000	amp	108
chr1	67900001	68000000	amp	102
chr1	68000001	68100000	amp	96
chr1	68100001	68200000	amp	92
chr1	68200001	68300000	amp	86
chr1	68300001	68400000	amp	83
chr1	68400001	68500000	amp	80
chr1	68500001	68600000	amp	68
chr1	68600001	68700000	amp	65
chr1	68700001	68800000	amp	64
chr1	68800001	68900000	amp	63
chr1	68900001	69000000	amp	61
chr1	69000001	69100000	amp	59
chr1	69100001	69200000	amp	59
chr1	69200001	69300000	amp	58
chr1	69300001	69400000	amp	58
chr1	69400001	69500000	amp	57
chr1	69500001	69600000	amp	57
chr1	69600001	69700000	amp	55
chr1	69700001	69800000	amp	54
chr1	69800001	69900000	amp	54
chr1	69900001	70000000	amp	53
chr1	70000001	70100000	amp	53
chr1	70100001	70200000	amp	53
chr1	70200001	70300000	amp	53
chr1	70300001	70400000	amp	53
chr1	70400001	70500000	amp	53
chr1	101100001	101200000	del	51
chr1	101200001	101300000	del	51
chr1	101300001	101400000	del	54
chr1	101400001	101500000	del	62
chr1	101500001	101600000	del	66
chr1	101600001	101700000	del	68
chr1	101700001	101800000	del	68
chr1	101800001	101900000	del	71
chr1	101900001	102000000	del	71
chr1	102000001	102100000	del	74
chr1	102100001	102200000	del	74
chr1	102200001	102300000	del	74
chr1	102300001	102400000	del	74
chr1	102400001	102500000	del	74
chr1	102500001	102600000	del	75
chr1	102600001	102700000	del	75
chr1	102700001	102800000	del	75
chr1	102800001	102900000	del	75
chr1	102900001	103000000	del	75
chr1	103000001	103100000	del	75
chr1	103100001	103200000	del	75
chr1	103200001	103300000	del	75
chr1	103300001	103400000	del	75
chr1	103400001	103500000	del	75
chr1	103800001	103900000	del	75
chr1	103900001	104000000	del	75
chr1	104000001	104100000	del	75
chr1	104100001	104200000	del	75
chr1	104200001	104300000	del	75
chr1	104300001	104400000	del	75
chr1	104500001	104600000	del	75
chr1	104600001	104700000	del	75
chr1	104700001	104800000	del	75
chr1	104800001	104900000	del	76
chr1	104900001	105000000	del	76
chr1	105000001	105100000	del	76
chr1	105100001	105200000	del	76
chr1	105200001	105300000	del	76
chr1	105300001	105400000	del	75
chr1	105400001	105500000	del	75
chr1	105500001	105600000	del	75
chr1	105600001	105700000	del	75
chr1	105700001	105800000	del	75
chr1	105800001	105900000	del	75
chr1	105900001	106000000	del	75
chr1	106000001	106100000	del	75
chr1	106100001	106200000	del	75
chr1	106200001	106300000	del	75
chr1	106300001	106400000	del	75
chr1	106400001	106500000	del	76
chr1	106500001	106600000	del	76
chr1	106600001	106700000	del	75
chr1	106700001	106800000	del	74
chr1	106800001	106900000	del	72
chr1	106900001	107000000	del	71
chr1	107000001	107100000	del	67
chr1	107000001	107100000	amp	55
chr1	107100001	107200000	del	61
chr1	107100001	107200000	amp	62
chr1	107200001	107300000	del	55
chr1	107200001	107300000	amp	76
chr1	107300001	107400000	del	53
chr1	107300001	107400000	amp	81
chr1	107400001	107500000	del	51
chr1	107400001	107500000	amp	85
chr1	107500001	107600000	del	51
chr1	107500001	107600000	amp	93
chr1	107600001	107700000	amp	107
chr1	107700001	107800000	amp	114
chr1	107800001	107900000	amp	124
chr1	107900001	108000000	amp	128
chr1	108000001	108100000	amp	129
chr1	108100001	108200000	amp	131
chr1	108200001	108300000	amp	135
chr1	108300001	108400000	amp	151
chr1	108500001	108600000	amp	163
chr1	108600001	108700000	amp	163
chr1	108700001	108800000	amp	164
chr1	108800001	108900000	amp	167
chr1	108900001	109000000	amp	170
chr1	109000001	109100000	amp	171
chr1	109100001	109200000	amp	172
chr1	109200001	109300000	amp	173
chr1	109300001	109400000	amp	174
chr1	109400001	109500000	amp	174
chr1	109500001	109600000	amp	174
chr1	109600001	109700000	amp	174
chr1	109700001	109800000	amp	174
chr1	109800001	109900000	amp	174
chr1	109900001	110000000	amp	174
chr1	110000001	110100000	amp	173
chr1	110100001	110200000	amp	173
chr1	110200001	110300000	amp	174
chr1	110300001	110400000	amp	174
chr1	110400001	110500000	amp	172
chr1	110500001	110600000	amp	172
chr1	110600001	110700000	amp	172
chr1	110700001	110800000	amp	172
chr1	110800001	110900000	amp	172
chr1	110900001	111000000	amp	172
chr1	111000001	111100000	amp	172
chr1	111100001	111200000	amp	172
chr1	111200001	111300000	amp	172
chr1	111300001	111400000	amp	172
chr1	111400001	111500000	amp	172
chr1	111500001	111600000	amp	172
chr1	111600001	111700000	amp	172
chr1	111700001	111800000	amp	171
chr1	111800001	111900000	amp	170
chr1	111900001	112000000	amp	170
chr1	112000001	112100000	amp	170
chr1	112100001	112200000	amp	170
chr1	112200001	112300000	amp	169
chr1	112300001	112400000	amp	169
chr1	112400001	112500000	amp	169
chr1	112500001	112600000	amp	169
chr1	112600001	112700000	amp	169
chr1	112700001	112800000	amp	169
chr1	112800001	112900000	amp	169
chr1	112900001	113000000	amp	169
chr1	113000001	113100000	amp	169
chr1	113100001	113200000	amp	168
chr1	113200001	113300000	amp	169
chr1	113300001	113400000	amp	169
chr1	113400001	113500000	amp	169
chr1	113500001	113600000	amp	169
chr1	113600001	113700000	amp	169
chr1	113700001	113800000	amp	169
chr1	113800001	113900000	amp	169
chr1	113900001	114000000	amp	169
chr1	114000001	114100000	amp	169
chr1	114100001	114200000	amp	169
chr1	114200001	114300000	amp	169
chr1	114300001	114400000	amp	169
chr1	114400001	114500000	amp	169
chr1	114500001	114600000	amp	169
chr1	114600001	114700000	amp	169
chr1	114700001	114800000	amp	168
chr1	114800001	114900000	amp	168
chr1	114900001	115000000	amp	168
chr1	115000001	115100000	amp	167
chr1	115100001	115200000	amp	168
chr1	115200001	115300000	amp	169
chr1	115300001	115400000	amp	169
chr1	115400001	115500000	amp	169
chr1	115500001	115600000	amp	169
chr1	115600001	115700000	amp	170
chr1	115700001	115800000	amp	170
chr1	115800001	115900000	amp	171
chr1	115900001	116000000	amp	171
chr1	116000001	116100000	amp	171
chr1	116100001	116200000	amp	171
chr1	116200001	116300000	amp	171
chr1	116300001	116400000	amp	171
chr1	116400001	116500000	amp	171
chr1	116500001	116600000	amp	171
chr1	116600001	116700000	amp	170
chr1	116700001	116800000	amp	170
chr1	116800001	116900000	amp	170
chr1	116900001	117000000	amp	173
chr1	117000001	117100000	amp	173
chr1	117100001	117200000	amp	173
chr1	117200001	117300000	amp	174
chr1	117300001	117400000	amp	174
chr1	117400001	117500000	amp	174
chr1	117500001	117600000	amp	174
chr1	117600001	117700000	amp	174
chr1	117700001	117800000	amp	174
chr1	117800001	117900000	amp	174
chr1	117900001	118000000	amp	174
chr1	118000001	118100000	amp	174
chr1	118100001	118200000	amp	173
chr1	118200001	118300000	amp	173
chr1	118300001	118400000	amp	173
chr1	118400001	118500000	amp	173
chr1	118500001	118600000	amp	173
chr1	118600001	118700000	amp	174
chr1	118700001	118800000	amp	174
chr1	118800001	118900000	amp	173
chr1	118900001	119000000	amp	173
chr1	119000001	119100000	amp	171
chr1	119100001	119200000	amp	171
chr1	119200001	119300000	amp	171
chr1	119300001	119400000	amp	171
chr1	119400001	119500000	amp	170
chr1	119500001	119600000	amp	173
chr1	119600001	119700000	amp	173
chr1	119700001	119800000	amp	173
chr1	119800001	119900000	amp	172
chr1	119900001	120000000	amp	173
chr1	120100001	120200000	amp	173
chr1	120300001	120400000	amp	172
chr1	120400001	120500000	amp	172
chr1	120500001	120600000	amp	172
